iter	Passed	Remaining
0	147	147118
1	148	74131
2	149	49743
3	150	37545
4	151	30223
5	153	25386
6	154	21891
7	155	19275
8	156	17246
9	157	15631
10	158	14288
11	160	13181
12	161	12230
13	162	11427
14	163	10723
15	164	10101
16	165	9558
17	166	9074
18	167	8643
19	168	8256
20	169	7908
21	170	7588
22	171	7305
23	173	7041
24	174	6799
25	175	6576
26	176	6365
27	177	6171
28	179	6003
29	180	5837
30	181	5680
31	182	5532
32	183	5389
33	185	5264
34	186	5141
35	187	5028
36	188	4919
37	190	4815
38	191	4713
39	192	4617
40	193	4525
41	194	4441
42	195	4358
43	196	4278
44	198	4202
45	199	4129
46	200	4062
47	201	3993
48	202	3935
49	203	3874
50	205	3815
51	206	3761
52	207	3709
53	208	3657
54	209	3605
55	210	3556
56	212	3509
57	213	3461
58	214	3416
59	215	3371
60	216	3330
61	217	3289
62	218	3250
63	219	3213
64	221	3193
65	223	3157
66	224	3124
67	225	3091
68	226	3060
69	227	3027
70	228	2995
71	230	2966
72	231	2938
73	232	2910
74	233	2881
75	234	2855
76	235	2828
77	236	2801
78	237	2774
79	239	2750
80	240	2724
81	241	2701
82	241	2673
83	243	2651
84	244	2632
85	245	2613
86	247	2594
87	248	2577
88	250	2565
89	252	2550
90	253	2533
91	255	2518
92	257	2508
93	259	2500
94	266	2534
95	267	2519
96	269	2505
97	270	2491
98	272	2475
99	273	2464
100	275	2450
101	276	2433
102	278	2421
103	279	2406
104	280	2393
105	282	2380
106	283	2365
107	284	2349
108	285	2334
109	286	2321
110	288	2306
111	289	2292
112	290	2278
113	291	2265
114	293	2257
115	294	2243
116	295	2230
117	296	2219
118	298	2206
119	299	2194
120	300	2182
121	301	2169
122	302	2157
123	303	2145
124	304	2133
125	306	2123
126	307	2111
127	308	2102
128	309	2092
129	311	2081
130	312	2072
131	313	2062
132	314	2051
133	316	2042
134	317	2031
135	318	2021
136	319	2012
137	320	2003
138	322	1995
139	323	1988
140	324	1979
141	325	1967
142	326	1958
143	327	1949
144	328	1939
145	329	1929
146	331	1921
147	332	1912
148	333	1903
149	334	1896
150	336	1891
151	338	1886
152	339	1879
153	340	1870
154	341	1862
155	342	1854
156	343	1846
157	344	1838
158	346	1830
159	347	1823
160	348	1813
161	349	1810
162	352	1809
163	353	1803
164	355	1796
165	357	1795
166	358	1788
167	359	1781
168	360	1774
169	361	1767
170	363	1760
171	364	1753
172	366	1751
173	367	1745
174	369	1740
175	370	1734
176	371	1727
177	372	1721
178	373	1714
179	374	1708
180	376	1701
181	377	1695
182	378	1690
183	380	1689
184	381	1682
185	383	1676
186	384	1670
187	385	1664
188	386	1657
189	387	1651
190	388	1645
191	389	1639
192	390	1633
193	391	1627
194	394	1626
195	395	1621
196	396	1616
197	397	1610
198	398	1604
199	399	1598
200	400	1593
201	401	1587
202	403	1582
203	404	1576
204	405	1571
205	406	1566
206	407	1562
207	409	1558
208	410	1552
209	411	1547
210	412	1542
211	413	1537
212	414	1532
213	415	1527
214	417	1523
215	418	1518
216	419	1514
217	420	1509
218	422	1505
219	423	1500
220	424	1496
221	425	1491
222	426	1487
223	427	1482
224	428	1477
225	430	1472
226	431	1468
227	432	1463
228	433	1458
229	434	1454
230	435	1449
231	436	1445
232	437	1441
233	439	1437
234	440	1433
235	441	1428
236	442	1423
237	443	1419
238	444	1415
239	445	1410
240	447	1408
241	448	1404
242	449	1401
243	451	1397
244	452	1393
245	453	1389
246	454	1385
247	455	1381
248	456	1377
249	457	1373
250	458	1369
251	459	1365
252	460	1360
253	461	1356
254	463	1352
255	464	1349
256	465	1345
257	467	1344
258	468	1341
259	469	1337
260	470	1333
261	472	1329
262	473	1326
263	474	1322
264	475	1318
265	476	1315
266	477	1311
267	479	1308
268	480	1304
269	481	1301
270	482	1297
271	483	1294
272	484	1290
273	486	1288
274	487	1284
275	488	1281
276	489	1277
277	490	1274
278	491	1271
279	493	1267
280	494	1264
281	495	1261
282	496	1257
283	497	1254
284	498	1250
285	499	1247
286	500	1244
287	501	1240
288	503	1237
289	504	1234
290	505	1230
291	506	1227
292	507	1223
293	508	1220
294	509	1217
295	510	1214
296	512	1212
297	513	1209
298	514	1205
299	515	1202
300	516	1199
301	517	1196
302	518	1193
303	519	1190
304	520	1187
305	522	1184
306	523	1181
307	524	1178
308	525	1175
309	526	1172
310	528	1169
311	529	1167
312	530	1164
313	531	1161
314	532	1158
315	533	1155
316	534	1152
317	536	1149
318	537	1146
319	538	1144
320	539	1141
321	540	1138
322	541	1135
323	542	1132
324	544	1129
325	545	1127
326	546	1124
327	547	1121
328	548	1119
329	549	1116
330	551	1113
331	552	1110
332	553	1107
333	554	1105
334	555	1102
335	556	1099
336	557	1097
337	558	1094
338	559	1091
339	561	1089
340	562	1086
341	563	1083
342	564	1080
343	565	1078
344	566	1076
345	567	1073
346	569	1070
347	570	1068
348	571	1065
349	572	1062
350	573	1060
351	574	1057
352	575	1054
353	576	1052
354	577	1049
355	578	1047
356	580	1044
357	581	1042
358	582	1039
359	583	1037
360	584	1034
361	585	1032
362	587	1030
363	588	1027
364	589	1025
365	590	1022
366	591	1020
367	592	1017
368	593	1015
369	594	1012
370	596	1010
371	597	1008
372	598	1005
373	599	1003
374	600	1000
375	601	998
376	602	996
377	603	993
378	605	991
379	606	988
380	607	986
381	608	984
382	609	982
383	610	979
384	611	977
385	612	975
386	613	972
387	615	970
388	616	967
389	617	965
390	618	962
391	619	960
392	620	957
393	621	955
394	622	953
395	623	951
396	624	948
397	625	945
398	626	943
399	627	941
400	628	938
401	629	936
402	630	933
403	631	931
404	632	929
405	633	926
406	634	924
407	635	921
408	636	919
409	637	917
410	638	915
411	639	912
412	640	910
413	641	908
414	642	905
415	643	903
416	644	901
417	645	899
418	646	896
419	647	894
420	648	892
421	649	890
422	650	887
423	652	886
424	653	883
425	654	881
426	655	879
427	656	876
428	657	874
429	658	872
430	659	870
431	660	868
432	661	865
433	662	863
434	663	861
435	664	859
436	665	857
437	666	855
438	667	853
439	668	851
440	670	849
441	671	847
442	672	845
443	673	843
444	674	840
445	675	838
446	676	836
447	677	834
448	678	832
449	679	830
450	680	828
451	681	826
452	682	824
453	683	822
454	685	820
455	686	818
456	687	816
457	688	814
458	689	812
459	690	810
460	691	808
461	692	806
462	693	804
463	695	803
464	696	801
465	697	799
466	698	797
467	699	795
468	700	793
469	701	791
470	702	788
471	703	787
472	705	785
473	706	783
474	707	781
475	708	779
476	709	777
477	710	775
478	711	773
479	712	771
480	713	769
481	714	767
482	715	765
483	716	763
484	717	761
485	718	759
486	719	757
487	720	755
488	721	753
489	722	752
490	723	750
491	725	748
492	726	746
493	727	745
494	728	743
495	729	741
496	730	739
497	732	737
498	733	736
499	734	734
500	735	732
501	736	730
502	738	729
503	739	727
504	741	726
505	742	724
506	743	722
507	744	721
508	745	719
509	746	717
510	747	715
511	748	713
512	749	711
513	750	709
514	751	707
515	752	706
516	754	704
517	755	702
518	756	701
519	757	699
520	758	697
521	759	695
522	760	693
523	761	691
524	762	689
525	763	687
526	764	686
527	765	684
528	766	682
529	767	681
530	769	679
531	770	677
532	771	676
533	772	674
534	773	672
535	774	670
536	775	668
537	776	666
538	777	664
539	778	662
540	779	661
541	780	659
542	781	657
543	782	656
544	783	654
545	784	652
546	785	650
547	786	648
548	787	647
549	788	645
550	789	643
551	790	641
552	791	640
553	793	638
554	794	636
555	794	634
556	796	633
557	797	631
558	798	629
559	799	628
560	800	626
561	801	624
562	802	622
563	803	621
564	804	619
565	805	617
566	806	615
567	807	614
568	808	612
569	809	610
570	810	609
571	811	607
572	812	605
573	813	604
574	814	602
575	815	600
576	816	598
577	817	597
578	818	595
579	819	593
580	820	592
581	821	590
582	822	588
583	823	586
584	825	585
585	826	583
586	827	582
587	828	580
588	829	578
589	830	576
590	831	575
591	832	573
592	833	571
593	834	570
594	835	568
595	836	566
596	837	565
597	838	563
598	839	562
599	840	560
600	841	558
601	842	557
602	843	555
603	844	553
604	845	552
605	846	550
606	847	548
607	848	546
608	849	545
609	850	543
610	851	541
611	852	540
612	853	538
613	854	537
614	856	535
615	857	534
616	858	532
617	859	531
618	860	529
619	861	527
620	862	526
621	863	524
